pair,symbol_i,symbol_j,date,common_nav_date,aligned_observations,d,median60,z,half_life,adf_p,kpss_p,stability_ratio,expected_convergence_5d,assumed_rotation_cost,cost_method,net_expected_convergence_5d,signal_count,adjusted_win_rate_5d,median_realized_net_alpha_5d,p25_realized_net_alpha_5d,regime,pair_liquidity_score,pair_score_coverage,pair_score,rotate_in,rotate_out,signal,gates,adf_fdr_q
513110-513300,513110,513300,2026-09-07,2026-09-03,300,-0.0029928237123741375,-0.006031269358158276,1.056606105919004,1.8384483202373199,9.313751026743586e-05,0.048127287777343666,0.75,0.0018812728912162083,0.0015,ASSUMED_COST,0.00038127289121620824,5,0.5277777777777778,0.002743712646905262,7.395883197708472e-05,NORMAL,62.708333333333336,1.0,38.59552804626053,513300,513110,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.0030735378388253836
159632-513110,159632,513110,2026-09-07,2026-09-03,300,0.0004662880102680733,0.0004401975935982537,0.025134999537772658,0.8309538664247577,1.7544324699261027e-09,0.07727774779145671,1.0,0.00018402930083831611,0.0015,ASSUMED_COST,-0.001315970699161684,9,0.5346153846153846,0.00012969682188152106,-0.00014588870265535995,NORMAL,62.708333333333336,1.0,38.41698717948718,513110,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",1.1579254301512279e-07
159632-513390,159632,513390,2026-09-07,2026-09-03,300,3.219584162558742e-05,-0.0005878255206301641,0.41136970785728366,2.5666611003669657,0.030542997321018225,0.049383650474267564,1.0,0.0018624959663217562,0.0015,ASSUMED_COST,0.0003624959663217561,3,0.4928571428571429,-0.00018092013208698002,-0.0014997074067067393,NORMAL,57.29166666666667,1.0,38.35121995924932,513390,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.05599549508853341
159941-159659,159941,159659,2026-09-07,2026-09-03,300,0.01740087524172919,0.014997816212877768,0.584100172771727,2.8629849950525172,0.00427817464674319,0.01,0.75,0.0029049514118562863,0.0015,ASSUMED_COST,0.0014049514118562863,6,0.54,0.0018757250182396836,0.0007093898223340957,NORMAL,46.04166666666667,1.0,37.79863650273536,159659,159941,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.013445691746907169
513300-513390,513300,513390,2026-09-07,2026-09-03,300,0.0025587315437316516,0.0038844446465214275,-0.3107397820389505,2.0459242563020394,0.0002576185802949309,0.02959503155079107,1.0,0.0001319201753757094,0.0015,ASSUMED_COST,-0.0013680798246242906,4,0.5333333333333333,0.0062257585516111175,0.004513375225030843,NORMAL,57.29166666666667,1.0,37.271761346289125,513390,513300,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.0036204747474848087
513110-513390,513110,513390,2026-09-07,2026-09-03,300,-0.0004340921686424859,-0.0011855776503189447,0.40933524958895445,2.1302726842939728,0.018632572867261023,0.1,1.0,0.001912003430133668,0.0015,ASSUMED_COST,0.00041200343013366803,3,0.5071428571428571,0.009823729979319186,0.00418329497129827,NORMAL,57.29166666666667,1.0,36.981809147887205,513390,513110,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.03616911203644787
159632-513870,159632,513870,2026-09-07,2026-09-03,300,-0.0006752892290918244,-0.003732093066093744,0.9067062337495012,3.515143667551836,0.012404151563894053,0.1,0.75,0.0026244398057908716,0.0015,ASSUMED_COST,0.0011244398057908716,5,0.5277777777777778,0.002166003811417573,0.001358280202820418,NORMAL,38.541666666666664,1.0,36.768600738762316,513870,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02793550519913625
513390-513870,513390,513870,2026-09-07,2026-09-03,300,-0.0007074850707174118,-0.002629411641485651,0.8745671716779214,1.8580747715642834,0.0007473370728471151,0.1,1.0,0.0014227892960525079,0.0015,ASSUMED_COST,-7.721070394749218e-05,7,0.5106060606060606,6.507618984003113e-05,-0.0007823995324320308,NORMAL,38.541666666666664,1.0,36.43110147196966,513870,513390,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004898257055125924
159941-513870,159941,513870,2026-09-07,2026-09-03,300,0.019758493661041848,0.014215549620532737,1.0732765944620009,4.1345533230756235,0.03347050071593139,0.01,0.25,0.004549300895769694,0.0015,ASSUMED_COST,0.0030493008957696937,6,0.52,0.004519487684661096,0.00022614974284768238,CAUTION,38.541666666666664,1.0,36.40396398848177,513870,159941,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.059704136412201944
159632-159659,159632,159659,2026-09-07,2026-09-03,300,-0.0030329076484044842,-0.003868600684169478,0.42673321963553507,1.9397287236657716,0.041266453015859156,0.060599831605611554,0.75,7.791432164540833e-05,0.0015,ASSUMED_COST,-0.0014220856783545917,6,0.5,-3.9017785670335346e-05,-0.00018939612409224352,NORMAL,46.04166666666667,1.0,36.20342932230351,159659,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.06642892436699278
