pair,symbol_i,symbol_j,date,common_nav_date,aligned_observations,d,median60,z,half_life,adf_p,kpss_p,stability_ratio,expected_convergence_5d,assumed_rotation_cost,cost_method,net_expected_convergence_5d,signal_count,adjusted_win_rate_5d,median_realized_net_alpha_5d,p25_realized_net_alpha_5d,regime,pair_liquidity_score,pair_score_coverage,pair_score,rotate_in,rotate_out,signal,gates,adf_fdr_q
159941-159632,159941,159632,2026-09-07,2026-09-03,300,0.020433782890133673,0.018627981792334346,0.46063505133473354,3.2322152799529302,0.5306407145245428,0.01,0.25,0.002624370237001808,0.0015,ASSUMED_COST,0.001124370237001808,6,0.5,-5.939389109121821e-05,-0.0023812789781268704,NORMAL,72.91666666666666,1.0,29.141044837216114,159632,159941,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.5867439080380694
159632-159660,159632,159660,2026-09-07,2026-09-03,300,0.0001863819117119414,-0.0024425402492372073,1.4110143699836848,7.468722385123504,0.022699628069306678,0.06749265952119768,0.75,0.001718147053170737,0.0015,ASSUMED_COST,0.00021814705317073704,5,0.5277777777777778,0.004659108954012727,0.0024311404327413424,NORMAL,52.5,1.0,29.118570046034655,159660,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.042805012930692596
159941-513390,159941,513390,2026-09-07,2026-09-03,300,0.02046597873175926,0.017490322031307917,0.5706337141980541,3.5012819395289427,0.8099431670521786,0.01,0.0,0.004037974300255483,0.0015,ASSUMED_COST,0.0025379743002554834,5,0.5092592592592593,0.0008295113311845305,-0.0013853314196300968,CAUTION,57.29166666666667,1.0,28.455666194288565,513390,159941,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.8352538910225592
159941-159660,159941,159660,2026-09-07,2026-09-03,300,0.020620164801845614,0.01596392323108576,1.1202865927237673,6.674682313109365,0.14976235772580498,0.01,0.5,0.0032754360415267053,0.0015,ASSUMED_COST,0.0017754360415267053,5,0.5277777777777778,0.001987986743993199,0.0016604571010690474,NORMAL,52.5,1.0,27.109044776137033,159660,159941,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.20172072673271693
159501-513100,159501,513100,2026-09-07,2026-09-03,300,0.004649275515008711,0.0030692456988497055,0.28791962508876523,5.8125399308324,0.09877109203707946,0.01,1.0,0.002780538780278668,0.0015,ASSUMED_COST,0.001280538780278668,5,0.5092592592592593,0.0034246671564265876,-0.0010426846631356721,NORMAL,12.009803921568626,1.0,26.936427937530254,513100,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.14171504509667923
159696-513870,159696,513870,2026-09-07,2026-09-03,300,0.0072034679055053286,0.008138110415541855,-0.25458421987703933,2.793952863314116,0.051079409313705804,0.01,0.5,0.0003997883442584454,0.0015,ASSUMED_COST,-0.0011002116557415546,6,0.52,0.001506472396260229,-0.001329869665180504,NORMAL,17.892156862745097,1.0,26.616774607131866,513870,159696,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.07840095383033914
159632-159696,159632,159696,2026-09-07,2026-09-03,300,-0.007878757134597153,-0.01285933632571893,1.171011355179208,2.467331947606896,0.3698468963405137,0.01,0.25,0.0027402396272581363,0.0015,ASSUMED_COST,0.0012402396272581362,7,0.5318181818181819,0.003659705159705208,-0.0007755768508492787,NORMAL,17.892156862745097,1.0,26.082301102839896,159696,159632,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.46942106073988277
159941-513110,159941,513110,2026-09-07,2026-09-03,300,0.020900070900401746,0.019270610678894712,0.38775735260754657,3.663191030863569,0.4823088101947438,0.01,0.0,0.002463060446211713,0.0015,ASSUMED_COST,0.0009630604462117129,7,0.4893939393939394,-0.0019230118443315778,-0.0028948530414152893,NORMAL,62.708333333333336,1.0,25.346258625599937,513110,159941,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.5684353834438052
159659-159660,159659,159660,2026-09-07,2026-09-03,300,0.0032192895601164256,0.0011237231537651465,0.8796712826759476,8.950509242558027,0.04096374286893684,0.022242451288000873,0.75,0.0014510327651570624,0.0015,ASSUMED_COST,-4.896723484293765e-05,3,0.4928571428571429,-0.00012820249157135958,-0.0024793831206265647,NORMAL,46.04166666666667,1.0,24.966030113469134,159660,159659,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.06642892436699278
159659-159696,159659,159696,2026-09-07,2026-09-03,300,-0.004845849486192669,-0.00970822075097038,0.9880932178816024,2.9212623519939145,0.38430955052447074,0.019766720646784287,0.75,0.0024694296393408532,0.0015,ASSUMED_COST,0.0009694296393408532,9,0.4653846153846154,-0.0014132061877789024,-0.007042105451466272,NORMAL,17.892156862745097,1.0,24.96302762134498,159696,159659,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.47634813049596203
159501-159696,159501,159696,2026-09-07,2026-09-03,300,0.02086086548353583,0.011999630865168934,2.4352067194799867,10.444867075976425,0.8778258390703055,0.01,0.0,0.0025923298612745005,0.0015,ASSUMED_COST,0.0010923298612745005,4,0.48333333333333334,-0.0008215473227480273,-0.0023475631979640852,CAUTION,12.009803921568626,1.0,23.773760764310897,159696,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": true}",0.8778258390703055
159696-513110,159696,513110,2026-09-07,2026-09-03,300,0.008345045144865226,0.013313469466352715,-1.218513614327212,2.6493729684057903,0.5005151449514293,0.01,0.0,0.0025545187856670856,0.0015,ASSUMED_COST,0.0010545187856670856,7,0.5106060606060606,0.0002064989079660364,-0.004933613961302151,NORMAL,17.892156862745097,1.0,23.494315052833542,159696,513110,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.5795438520490235
159513-513110,159513,513110,2026-09-07,2026-09-03,300,-0.0016792313602590064,-6.598526061794494e-05,-0.824697448639104,5.437900420461608,0.1417095992583055,0.1,0.5,0.001912189913482915,0.0015,ASSUMED_COST,0.00041218991348291505,4,0.48333333333333334,-0.00342354273538653,-0.008248956708877013,NORMAL,61.66666666666666,1.0,23.128020127512393,159513,513110,NO TRADE,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.19485069898017007
159696-513300,159696,513300,2026-09-07,2026-09-03,300,0.005352221432491089,0.008114765835468385,-0.7266174526716436,1.4339128412060453,0.38973937949669624,0.01,0.25,0.00111014311624968,0.0015,ASSUMED_COST,-0.00038985688375031994,7,0.5106060606060606,0.0029479497834759573,-0.0009849984059941406,NORMAL,17.892156862745097,1.0,22.75530289124729,159696,513300,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.47634813049596203
159501-159513,159501,159513,2026-09-07,2026-09-03,300,0.03088514198866006,0.02580593794718438,0.7296903804650433,7.935919928216804,0.19537446848130913,0.01,0.5,0.0035962979795047326,0.0015,ASSUMED_COST,0.0020962979795047325,6,0.52,0.0038308124617678647,-0.0031826047987612276,NORMAL,12.009803921568626,1.0,22.43213405609718,159513,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.2528375474464
159501-513390,159501,513390,2026-09-07,2026-09-03,300,0.02877181845975857,0.025304580058393367,0.586936165421371,7.1601318501954445,0.5334035527618812,0.01,0.0,0.003316712958305979,0.0015,ASSUMED_COST,0.0018167129583059791,5,0.5092592592592593,0.008583565683322915,-0.010479538300104894,NORMAL,12.009803921568626,1.0,18.9612039245583,513390,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.5867439080380694
159501-513300,159501,513300,2026-09-07,2026-09-03,300,0.026213086916026918,0.0211501932443404,1.0983852470750486,6.5789588587691865,0.8716330485736643,0.01,0.0,0.0035727439411094297,0.0015,ASSUMED_COST,0.0020727439411094297,3,0.5214285714285715,0.005748108323377079,0.003381739626637183,NORMAL,12.009803921568626,1.0,18.36692693410193,513300,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.8778258390703055
159660-159696,159660,159696,2026-09-07,2026-09-03,300,-0.008065139046309094,-0.010478969834401199,0.5097211937850071,6.607931269268346,0.11516094869277271,0.01,0.5,0.00037569372619362766,0.0015,ASSUMED_COST,-0.0011243062738063724,4,0.5166666666666667,0.0038532229963751954,0.0014557355465626433,NORMAL,17.892156862745097,1.0,17.56767851513819,159660,159696,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.1617153747600638
159501-513110,159501,513110,2026-09-07,2026-09-03,300,0.029205910628401055,0.026970469428038452,0.4230869019269959,7.854282921414826,0.5185511794172366,0.01,0.0,0.0021699314751266185,0.0015,ASSUMED_COST,0.0006699314751266185,4,0.5333333333333333,0.005072233782978832,0.0017610063980596237,NORMAL,12.009803921568626,1.0,16.27233964375034,513110,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.5867439080380694
159501-159632,159501,159632,2026-09-07,2026-09-03,300,0.02873962261813298,0.026369788942037807,0.42301035074188714,7.99454621347619,0.588448630778678,0.01,0.0,0.002130314495184027,0.0015,ASSUMED_COST,0.0006303144951840269,5,0.5277777777777778,0.0038007135575942055,0.0018719818473182394,NORMAL,12.009803921568626,1.0,14.282420664440641,159632,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.6366821251047992
159501-159659,159501,159659,2026-09-07,2026-09-03,300,0.025706714969728497,0.023117328316559438,0.6737791610652214,9.661124997997707,0.6771264997976141,0.01,0.0,0.0016955173310451294,0.0015,ASSUMED_COST,0.00019551733104512933,4,0.5,0.001239150257433154,-0.005616212131003661,NORMAL,12.009803921568626,1.0,12.751033899768975,159659,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.7207929784771937
159501-513870,159501,513870,2026-09-07,2026-09-03,300,0.028064333389041157,0.021844644394516652,0.9891750305252348,9.799653438570223,0.6880296612736849,0.01,0.0,0.0028528198120310808,0.0015,ASSUMED_COST,0.0013528198120310807,6,0.48,-0.0019383575431942677,-0.0038008445645085747,NORMAL,12.009803921568626,1.0,12.36978820234217,513870,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.7207929784771937
159501-159660,159501,159660,2026-09-07,2026-09-03,300,0.028926004529844923,0.02492347053897013,0.6335046347996912,12.864208632865155,0.4263377719293509,0.01,0.0,0.002144670006120432,0.0015,ASSUMED_COST,0.0006446700061204318,4,0.5166666666666667,0.002726611172417461,6.900968983933461e-05,NORMAL,12.009803921568626,1.0,11.13534875817904,159660,159501,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": false, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.511605326315221
