run_id,resource,symbol,requested_start,requested_end,started_at_utc,finished_at_utc,duration_seconds,status,row_count,min_date,max_date,sources,error,source_priority,ingested_at_utc
20260908T014212616092Z,pcf,159941,2026-09-08,2026-09-08,2026-09-08T01:42:17+00:00,2026-09-08T01:42:29+00:00,12.952,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:42:29+00:00
20260908T014212616092Z,pcf,513100,2026-09-08,2026-09-08,2026-09-08T01:43:15+00:00,2026-09-08T01:43:17+00:00,1.733,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:43:17+00:00
20260908T014212616092Z,pcf,513110,2026-09-08,2026-09-08,2026-09-08T01:43:20+00:00,2026-09-08T01:43:22+00:00,1.591,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:43:22+00:00
20260908T014212616092Z,pcf,513300,2026-09-08,2026-09-08,2026-09-08T01:43:26+00:00,2026-09-08T01:43:27+00:00,1.433,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:43:27+00:00
20260908T014212616092Z,pcf,513390,2026-09-08,2026-09-08,2026-09-08T01:43:31+00:00,2026-09-08T01:43:32+00:00,1.639,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:43:32+00:00
20260908T014212616092Z,pcf,513870,2026-09-08,2026-09-08,2026-09-08T01:43:36+00:00,2026-09-08T01:43:38+00:00,1.446,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:43:38+00:00
20260908T014212616092Z,prices,159501,2026-08-24,2026-09-08,2026-09-08T01:42:29+00:00,2026-09-08T01:42:31+00:00,2.022,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:31+00:00
20260908T014212616092Z,prices,159513,2026-08-24,2026-09-08,2026-09-08T01:42:37+00:00,2026-09-08T01:42:38+00:00,1.01,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:38+00:00
20260908T014212616092Z,prices,159632,2026-08-24,2026-09-08,2026-09-08T01:42:44+00:00,2026-09-08T01:42:45+00:00,1.052,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:45+00:00
20260908T014212616092Z,prices,159659,2026-08-24,2026-09-08,2026-09-08T01:42:50+00:00,2026-09-08T01:42:52+00:00,1.536,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:52+00:00
20260908T014212616092Z,prices,159660,2026-08-24,2026-09-08,2026-09-08T01:42:56+00:00,2026-09-08T01:42:57+00:00,1.015,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:57+00:00
20260908T014212616092Z,prices,159696,2026-08-24,2026-09-08,2026-09-08T01:43:03+00:00,2026-09-08T01:43:05+00:00,2.949,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:05+00:00
20260908T014212616092Z,prices,159941,2026-08-24,2026-09-08,2026-09-08T01:42:12+00:00,2026-09-08T01:42:13+00:00,1.337,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:42:13+00:00
20260908T014212616092Z,prices,513100,2026-08-24,2026-09-08,2026-09-08T01:43:10+00:00,2026-09-08T01:43:13+00:00,3.128,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:13+00:00
20260908T014212616092Z,prices,513110,2026-08-24,2026-09-08,2026-09-08T01:43:17+00:00,2026-09-08T01:43:18+00:00,0.955,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:18+00:00
20260908T014212616092Z,prices,513300,2026-08-24,2026-09-08,2026-09-08T01:43:22+00:00,2026-09-08T01:43:24+00:00,1.99,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:24+00:00
20260908T014212616092Z,prices,513390,2026-08-24,2026-09-08,2026-09-08T01:43:27+00:00,2026-09-08T01:43:29+00:00,1.51,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:29+00:00
20260908T014212616092Z,prices,513870,2026-08-24,2026-09-08,2026-09-08T01:43:32+00:00,2026-09-08T01:43:33+00:00,0.98,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:43:33+00:00
20260908T014212616092Z,snapshot,*,2026-09-08,2026-09-08,2026-09-08T01:43:38+00:00,2026-09-08T01:44:17+00:00,39.613,SUCCESS,12,2026-09-08,2026-09-08,akshare:eastmoney:fund_etf_spot_em,,0,2026-09-08T01:44:17+00:00
20260908T015210654157Z,factor:FX,*,2026-08-25,2026-09-08,2026-09-08T01:54:05+00:00,2026-09-08T01:54:26+00:00,20.789,DEGRADED,11,2026-08-25,2026-09-08,akshare:safe:currency_boc_safe,"factor USDCNH akshare:eastmoney:forex_hist_em: ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,2026-09-08T01:54:26+00:00
20260908T015210654157Z,factor:NDX,*,2026-08-21,2026-09-08,2026-09-08T01:54:04+00:00,2026-09-08T01:54:05+00:00,1.277,SUCCESS,11,2026-08-21,2026-09-04,akshare:sina:index_us_stock_sina,,0,2026-09-08T01:54:05+00:00
20260908T015210654157Z,nav,159501,2026-08-21,2026-09-08,2026-09-08T01:52:32+00:00,2026-09-08T01:52:35+00:00,2.464,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:35+00:00
20260908T015210654157Z,nav,159513,2026-08-21,2026-09-08,2026-09-08T01:52:37+00:00,2026-09-08T01:52:39+00:00,1.867,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:39+00:00
20260908T015210654157Z,nav,159632,2026-08-21,2026-09-08,2026-09-08T01:52:43+00:00,2026-09-08T01:52:45+00:00,1.773,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:45+00:00
20260908T015210654157Z,nav,159659,2026-08-21,2026-09-08,2026-09-08T01:52:48+00:00,2026-09-08T01:52:50+00:00,1.891,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:50+00:00
